policy,budget_share,spend_per_1k,delta_per_1k,treated_share,roi,late_rate
cause_aware,0.05,7.2957318325596665,29.548694139513923,0.006079776527133057,5.050134354944748,0.09789261800106806
cause_aware,0.1,14.568642320174176,55.699150542533665,0.01158443905845623,4.8232217744410715,0.09756398143203385
cause_aware,0.2,29.174044899971246,104.73981914350657,0.022470525407714742,4.590171315037966,0.09666023086718975
cause_aware,0.35,51.29600686028837,152.0702832255998,0.040340138848950415,3.964563764968756,0.09555108244669926
cause_aware,0.5,73.06497607114983,182.51087918131773,0.054841227457585344,3.497925668292706,0.09452409316846733
cause_aware,0.75,109.81263566528365,204.3472753523156,0.08392556381711375,2.860872149314217,0.09312738775007189
cause_aware,1.0,146.48247370907447,217.5900498823771,0.10923057963274864,2.4854340206906094,0.09181284147393501
cause_aware,1.5,146.58106467978473,217.4914589116668,0.10931273877500719,2.48376230850001,0.09181284147393501
risk_only,0.05,7.295731832559668,19.020879781790345,0.006079776527133057,3.6071243047754624,0.09805693628558518
risk_only,0.1,14.322164893398512,55.333523440886516,0.011379041202809843,4.863488784882741,0.0976461405742924
risk_only,0.2,29.091863780142134,93.51631516058329,0.023251037259171013,4.214517841390988,0.09686562872283613
risk_only,0.35,51.21645206014049,117.56928187941415,0.03955962699749414,3.2955374132780455,0.0962083555847677
risk_only,0.5,73.10364755781949,147.98597439650865,0.057798956578893314,3.0243309238360867,0.09526352544879431
risk_only,0.75,109.92388119788032,177.58431661894986,0.08667789508277533,2.6155208011557542,0.09378466088814033
risk_only,1.0,134.1952846814279,196.70450106546534,0.10434211066836462,2.465807845129809,0.09283983075216695
risk_only,1.5,134.1952846814279,196.70450106546534,0.10434211066836462,2.465807845129809,0.09283983075216695
