model,decile,n,n_late,mean_score,late_rate,lift,capture,cum_capture,cum_share_of_orders
logistic,1,2434,535.0,0.2394552965940481,0.2198027937551356,2.235962978847165,0.2235687421646469,0.2235687421646469,0.09998767612866122
logistic,2,2434,382.0,0.1378259781232268,0.15694330320460148,1.5965193605974148,0.15963226076055162,0.38320100292519854,0.19997535225732244
logistic,3,2434,337.0,0.1123949579831933,0.13845521774856204,1.4084477081710178,0.1408274132887589,0.5240284162139575,0.29996302838598365
logistic,4,2435,264.0,0.10975255503395773,0.10841889117043121,1.1029005715678257,0.11032177183451734,0.6343501880484748,0.3999917840857741
logistic,5,2434,211.0,0.09632256582186964,0.08668857847165161,0.8818470813771062,0.08817384036773925,0.722524028416214,0.49997946021443535
logistic,6,2434,196.0,0.08153195340477647,0.08052588331963846,0.8191565305683072,0.08190555787714167,0.8044295862933557,0.5999671363430966
logistic,7,2435,141.0,0.06738525718979285,0.05790554414784394,0.5890491689055433,0.058921855411617215,0.8633514417049729,0.699995892042887
logistic,8,2434,129.0,0.06120389775938136,0.052999178307313065,0.5391387369556715,0.053907229419139155,0.9172586711241121,0.7999835681715483
logistic,9,2434,120.0,0.05102386485933596,0.049301561216105176,0.5015244064703921,0.05014625992478061,0.9674049310488927,0.8999712443002095
logistic,10,2435,78.0,0.03261436803378114,0.032032854209445585,0.32585698705413035,0.0325950689511074,1.0,1.0
gbdt,1,2434,486.0,0.16620873892782073,0.19967132292522596,2.031173846205088,0.20309235269536147,0.20309235269536147,0.09998767612866122
gbdt,2,2434,445.0,0.11187352404875281,0.1828266228430567,1.8598196739943709,0.18595904722106144,0.3890513999164229,0.19997535225732244
gbdt,3,2434,253.0,0.08471493457241543,0.10394412489728841,1.0573806236417433,0.10572503134141245,0.4947764312578353,0.29996302838598365
gbdt,4,2435,302.0,0.0800543223332717,0.12402464065708418,1.2616514114147097,0.12620142081069788,0.6209778520685332,0.3999917840857741
gbdt,5,2434,225.0,0.0657323458305082,0.0924404272801972,0.9403582621319851,0.09402423735896365,0.7150020894274969,0.49997946021443535
gbdt,6,2434,176.0,0.058476641333404945,0.07230895645028759,0.7355691294899084,0.07354784788967823,0.7885499373171752,0.5999671363430966
gbdt,7,2435,177.0,0.049489064820628044,0.07268993839835729,0.739444701392065,0.0739657333890514,0.8625156707062266,0.699995892042887
gbdt,8,2434,137.0,0.04066750565570677,0.05628594905505341,0.572573697387031,0.05725031341412453,0.9197659841203512,0.7999835681715483
gbdt,9,2434,118.0,0.036862003780718335,0.04847986852917009,0.49316566636255227,0.04931048892603427,0.9690764730463854,0.8999712443002095
gbdt,10,2435,74.0,0.025815652179796558,0.030390143737166326,0.3091463723334057,0.03092352695361471,1.0000000000000002,1.0
