decile,either,handling_only,neither,transit_only
1.0,0.43415637860082307,0.19958847736625515,0.0102880658436214,0.3559670781893004
2.0,0.37303370786516854,0.14157303370786517,0.006741573033707865,0.4786516853932584
3.0,0.3715415019762846,0.24110671936758893,0.007905138339920948,0.3794466403162055
4.0,0.3708609271523179,0.15562913907284767,0.0033112582781456954,0.47019867549668876
5.0,0.39111111111111113,0.27111111111111114,0.0,0.3377777777777778
6.0,0.36363636363636365,0.35795454545454547,0.0,0.2784090909090909
7.0,0.4011299435028249,0.2994350282485876,0.011299435028248588,0.288135593220339
8.0,0.40145985401459855,0.36496350364963503,0.0,0.23357664233576642
9.0,0.3813559322033898,0.4576271186440678,0.0,0.16101694915254236
10.0,0.28378378378378377,0.6756756756756757,0.0,0.04054054054054054
